Elapsed time;Bytes Received per Second;Bytes Sent per Second
01:57:14,0;1036.0;360.0
01:57:16,0;1036.0;360.0
01:57:18,0;1036.0;360.0
01:57:20,0;1036.0;360.0
01:57:22,0;1036.0;360.0
01:57:24,0;1036.0;360.0
01:57:26,0;1036.0;360.0
01:57:28,0;1036.0;360.0
01:57:30,0;1036.0;360.0
01:57:32,0;1036.0;360.0
01:57:34,0;1036.0;360.0
01:57:36,0;1036.0;360.0
01:57:38,0;1036.0;360.0
01:57:40,0;1036.0;360.0
01:57:42,0;1036.0;360.0
01:57:44,0;1036.0;360.0
01:57:46,0;1295.0;450.0
01:57:48,0;1295.0;450.0
01:57:50,0;1295.0;450.0
01:57:52,0;1295.0;450.0
01:57:54,0;1295.0;450.0
01:57:56,0;1295.0;450.0
01:57:58,0;1295.0;450.0
01:58:00,0;1295.0;450.0
01:58:02,0;1295.0;450.0
01:58:04,0;1295.0;450.0
01:58:06,0;1295.0;450.0
01:58:08,0;1295.0;450.0
01:58:10,0;1295.0;450.0
01:58:12,0;1295.0;450.0
01:58:14,0;1295.0;450.0
01:58:16,0;1295.0;450.0
01:58:18,0;1295.0;450.0
01:58:20,0;1295.0;450.0
01:58:22,0;1295.0;450.0
01:58:24,0;1295.0;450.0
01:58:26,0;1295.0;450.0
01:58:28,0;1295.0;450.0
01:58:30,0;1295.0;450.0
01:58:32,0;1295.0;450.0
01:58:34,0;1295.0;450.0
01:58:36,0;1295.0;450.0
01:58:38,0;1295.0;450.0
01:58:40,0;1295.0;450.0
01:58:42,0;1295.0;450.0
01:58:44,0;1295.0;450.0
01:58:46,0;1295.0;450.0
01:58:48,0;1295.0;450.0
01:58:50,0;1295.0;450.0
01:58:52,0;1295.0;450.0
01:58:54,0;1295.0;450.0
01:58:56,0;1295.0;450.0
01:58:58,0;1295.0;450.0
01:59:00,0;1295.0;450.0
01:59:02,0;1295.0;450.0
01:59:04,0;1295.0;450.0
01:59:06,0;1295.0;450.0
01:59:08,0;1295.0;450.0
01:59:10,0;1295.0;450.0
01:59:12,0;1295.0;450.0
01:59:14,0;1295.0;450.0
01:59:16,0;1295.0;450.0
01:59:18,0;1295.0;450.0
01:59:20,0;1295.0;450.0
01:59:22,0;1295.0;450.0
01:59:24,0;1295.0;450.0
01:59:26,0;1295.0;450.0
01:59:28,0;1295.0;450.0
01:59:30,0;1295.0;450.0
01:59:32,0;1295.0;450.0
01:59:34,0;1295.0;450.0
01:59:36,0;1295.0;450.0
01:59:38,0;1295.0;450.0
01:59:40,0;1295.0;450.0
01:59:42,0;1295.0;450.0
01:59:44,0;1295.0;450.0
01:59:46,0;1295.0;450.0
01:59:48,0;1295.0;450.0
01:59:50,0;1295.0;450.0
01:59:52,0;1295.0;450.0
01:59:54,0;1295.0;450.0
01:59:56,0;1295.0;450.0
01:59:58,0;1295.0;450.0
02:00:00,0;1295.0;450.0
02:00:02,0;1295.0;450.0
02:00:04,0;1295.0;450.0
02:00:06,0;1295.0;450.0
02:00:08,0;1295.0;450.0
02:00:10,0;1295.0;450.0
02:00:12,0;1295.0;450.0
02:00:14,0;1295.0;450.0
02:00:16,0;1295.0;450.0
02:00:18,0;1295.0;450.0
02:00:20,0;1295.0;450.0
02:00:22,0;1295.0;450.0
02:00:24,0;1295.0;450.0
02:00:26,0;1295.0;450.0
02:00:28,0;1295.0;450.0
02:00:30,0;1295.0;450.0
02:00:32,0;1295.0;450.0
02:00:34,0;1295.0;450.0
02:00:36,0;1295.0;450.0
02:00:38,0;1295.0;450.0
02:00:40,0;1295.0;450.0
02:00:42,0;1295.0;450.0
02:00:44,0;1295.0;450.0
02:00:46,0;1295.0;450.0
02:00:48,0;1295.0;450.0
02:00:50,0;1295.0;450.0
02:00:52,0;1295.0;450.0
02:00:54,0;1295.0;450.0
02:00:56,0;1295.0;450.0
02:00:58,0;1295.0;450.0
02:01:00,0;1295.0;450.0
02:01:02,0;1295.0;450.0
02:01:04,0;1295.0;450.0
02:01:06,0;1295.0;450.0
02:01:08,0;1295.0;450.0
02:01:10,0;1295.0;450.0
02:01:12,0;1295.0;450.0
02:01:14,0;1295.0;450.0
02:01:16,0;1295.0;450.0
02:01:18,0;1295.0;450.0
02:01:20,0;1295.0;450.0
02:01:22,0;1295.0;450.0
02:01:24,0;1295.0;450.0
02:01:26,0;1295.0;450.0
02:01:28,0;1295.0;450.0
02:01:30,0;1295.0;450.0
02:01:32,0;1295.0;450.0
02:01:34,0;1295.0;450.0
02:01:36,0;1295.0;450.0
02:01:38,0;1295.0;450.0
02:01:40,0;1295.0;450.0
02:01:42,0;1295.0;450.0
02:01:44,0;1295.0;450.0
02:01:46,0;1295.0;450.0
02:01:48,0;1295.0;450.0
02:01:50,0;1295.0;450.0
02:01:52,0;1295.0;450.0
02:01:54,0;1295.0;450.0
02:01:56,0;1295.0;450.0
02:01:58,0;1295.0;450.0
02:02:00,0;1295.0;450.0
02:02:02,0;1295.0;450.0
02:02:04,0;1295.0;450.0
02:02:06,0;1295.0;450.0
02:02:08,0;1295.0;450.0
02:02:10,0;1295.0;450.0
02:02:12,0;1295.0;450.0
02:02:14,0;1295.0;450.0
02:02:16,0;1295.0;450.0
02:02:18,0;1295.0;450.0
02:02:20,0;1295.0;450.0
02:02:22,0;1295.0;450.0
02:02:24,0;1295.0;450.0
02:02:26,0;1295.0;450.0
02:02:28,0;1295.0;450.0
02:02:30,0;1295.0;450.0
02:02:32,0;1295.0;450.0
02:02:34,0;1295.0;450.0
02:02:36,0;1295.0;450.0
02:02:38,0;1295.0;450.0
02:02:40,0;1295.0;450.0
02:02:42,0;1295.0;450.0
02:02:44,0;1295.0;450.0
